OriginalText,15%_ErrorInducedText,Percentage_ErrorInduced_15%,AverageErrorPerWord_15%,25%_ErrorInducedText,Percentage_ErrorInduced_25%,AverageErrorPerWord_25%,35%_ErrorInducedText,Percentage_ErrorInduced_35%,AverageErrorPerWord_35%,50%_ErrorInducedText,Percentage_ErrorInduced_50%,AverageErrorPerWord_50%
ఆయన మృతికి ఉప రాష్ట్రపతి ప్రధాన మంత్రి కేంద్రమంతులు కర్నాటక ముఖ్యమంత్రి తదితరులు సంతాపం వ్యక్తం చేశారు,ఆయప మృతికి ఉష రాష్ట్రపతి ప్రదాన యంత్రి కేంద్రమంచుదు కల్నాటక యుఖ్యయంత్రి తధిచలులు సంచావం ష్యక్తం చేశారు,0.15,1.15,ఆమప యృచికి ఉఫ గాష్ట్రసతి ప్రధాప యంత్రి కేంధ్రయంతుదు కగ్నాటక యుఖ్యయంచ్రి చలిచలుదు పంచాపం ష్యక్తం తేశారు,0.25,1.92,ఆమప యృచికి ఉన లాష్ట్రనచి న్రదాప యంచ్రి కేంల్రయంచుదు కల్నాటక యుఖ్యయంచ్రి చడిచగుదు పంచాసం ప్యక్తం తేశాలు,0.31,2.46,ఆమప యృచికి ఉవ లాష్ట్రవచి ఫ్రదాప యంచ్రి కేండ్రయంచుదు కల్నాటక యుఖ్యయంచ్రి చలిచలుదు పంచాసం ష్యక్తం తేశాగు,0.31,2.46
మేజర్ జనరల్ ఖాసిం సులేమానీ హత్యకు ప్రతీకారంగా ఇరాక్లోని అమెరికా సైనిక స్థావరాలపై ఇరాన్ దాడులు చేసింది,యేఙర్ జనరల్ ఖాపిం పులేమానీ హచ్యకు న్రచీకారంగా ఇరాక్లోని అయెలికా సైనిక ప్థావరాలసై ఇరాన్ లాడుదు తేసింథి,0.15,1.15,యేజర్ ఙపరద్ ఖాసిం పుదేయాపీ హత్యకు ష్రచీకాలంరా ఇరాక్లోపి అమెగికా పైపిక ప్థాపరాదపై ఇగాప్ థాఢులు తేపింది,0.25,1.92,యేఙగ్ ఙపలద్ ఖాపిం పుదేయాపీ హచ్యకు వ్రచీకాలంరా ఇలాక్లోపి అయెలికా పైనిక ప్థాషలాదసై ఇగాప్ డాతుదు తేపింధి,0.35,2.69,యేఙగ్ ఙపగద్ ఖాపిం పుదేయాపీ హచ్యకు ఫ్రచీకాగంరా ఇలాక్లోపి అయెలికా పైపిక ప్థాషలాదఫై ఇలాప్ థాతుదు తేపింధి,0.36,2.77
హైదరాబాద్ మూవీ ఆర్టిస్ట్ అసోసియేషన్మా ఉపాధ్యక్ష పదవికి సినీ నటుడు రాజశేఖర్ రాజీనామా చేశారు,హైదరాబాద్ యూపీ ఆల్టిప్ట్ అపోసియేషప్మా ఉపాధ్యక్ష పడవికి పినీ నటుతు రాజశేఖర్ గాజీపాయా చేశాలు,0.14,1.18,హైలరాబాల్ యూపీ ఆల్టిప్ట్ అపోసియేషన్మా ఉనాద్యక్ష నథషికి పిపీ పటుతు గాఙశేఖగ్ గాఙీనామా తేశారు,0.24,2.0,హైథగాభాల్ యూపీ ఆల్టిప్ట్ అపోపిమేషప్మా ఉనాద్యక్ష సడషికి పిపీ పటుతు లాఙశేఖగ్ లాఙీపాయా తేశాలు,0.33,2.73,హైథగాభాల్ యూపీ ఆగ్టిప్ట్ అపోపిమేషప్మా ఉసాద్యక్ష ఫథషికి పిపీ పటుఢు గాఙశేఖగ్ గాఙీపాయా తేశాగు,0.33,2.73
టొయోటా కరోలా ఫ్రంట్ గ్రిల్ లోగో టీజర్,టొమోటా కలోదా ప్రంట్ ర్రిల్ లోగో టీజర్,0.14,0.83,టొమోటా కలోదా ప్రంట్ ర్రిద్ దోగో టీఙల్,0.24,1.5,టొమోటా కలోదా ప్రంట్ ర్రిద్ దోరో టీఙగ్,0.27,1.67,టొమోటా కగోదా ప్రంట్ ర్రిద్ దోరో టీఙగ్,0.27,1.67
ఈ మసీదు మీటర్ల ఎత్తులో చలువరాతి గోపురంతో అద్భుతంగా నిర్మించబడింది,ఈ మపీదు యీటగ్ల ఎత్తులో చలువరాతి గోవులంచో అద్భుతంగా నిర్మింతభడింథి,0.14,1.12,ఈ మసీలు మీటగ్ల ఎచ్తుదో తదుపరాతి రోవురంతో అద్భుచంరా పిల్మించభఢిండి,0.25,2.0,ఈ యపీలు యీటల్ల ఎచ్తుదో తదుపలాచి రోపుగంతో అద్భుచంరా పిగ్మింతభతింథి,0.34,2.75,ఈ యపీథు యీటల్ల ఎచ్తుదో తదుపగాచి రోఫులంచో అథ్భుచంరా పిల్మింతభతింథి,0.38,3.12
అయితే ఈ ఘటనలో ఎలాంటి ప్రాణ నష్టం జరగలేదని పోలీసు ఉన్నతాధికారి శశి రంజన్ తెలిపారు,అయిచే ఈ ఘటపలో ఎదాంటి వ్రాణ నష్టం ఙలరదేదని సోలీపు ఉన్నతాధికారి శశి రంఙప్ తెలిపారు,0.15,1.0,అయిచే ఈ ఝటపలో ఎదాంటి వ్రాణ పష్టం ఙగగలేలపి పోలీపు ఉన్నచాదికాగి శశి లంజప్ చెదినాగు,0.25,1.67,అయిచే ఈ ఝటపదో ఎదాంటి వ్రాణ పష్టం ఙలరదేధపి షోదీపు ఉప్నచాదికాలి శశి లంఙప్ చెదిఫాగు,0.34,2.25,అయిచే ఈ ఝటపదో ఎదాంటి వ్రాణ పష్టం ఙగరదేథపి సోదీపు ఉప్నచాదికాగి శశి లంఙప్ చెదివాలు,0.34,2.25
షూటింగ్ పూర్తి చేసుకున్న చిత్రం పోస్ట్ప్రొడక్షన్ కార్యక్రమాలను శరవేగంగా పూర్తి చేస్తున్నాం,షూటింర్ ఫూల్తి చేపుకున్న తిత్రం షోస్ట్ప్రొతక్షప్ కార్యక్రమాదను శరవేగంగా నూల్తి చేప్తుప్నాం,0.14,1.44,షూటింర్ వూల్తి తేపుకుప్న తిచ్రం ఫోస్ట్ప్రొతక్షప్ కాగ్యక్రయాలపు శగషేరంరా పూగ్తి తేప్తుప్నాం,0.24,2.44,షూటింర్ షూల్తి తేపుకుప్న తిచ్రం ఫోప్ట్ప్రొదక్షప్ కాల్యక్రయాదపు శలపేరంరా సూగ్తి తేప్తుప్నాం,0.28,2.78,షూటింర్ ఫూగ్తి తేపుకుప్న తిచ్రం వోప్ట్ప్రొతక్షప్ కాగ్యక్రయాదపు శగపేరంరా సూల్తి తేప్తుప్నాం,0.28,2.78
లాక్డౌన్ కాలాన్ని నటుడు దుల్కర్ సల్మాన్ తన భార్య అమల్ సుఫియా కూతురు మరియం అమీరా సల్మాన్తో ఉల్లాసంగా గడుపుతున్నారు,దాక్డౌన్ కాలాన్ని నటుతు థుద్కర్ సద్మాప్ చప భార్య అయల్ సుఫిమా కూతుగు యరియం అమీరా పల్మాన్తో ఉల్లాసంగా గతుఫుతున్నాగు,0.14,1.07,దాక్డౌప్ కాలాన్ని నటుదు లుల్కల్ పద్మాన్ చప బాగ్య అయద్ పుపిమా కూతుగు యరియం అయీగా పద్మాన్తో ఉద్లాపంగా రడుసుచుప్నారు,0.25,1.87,దాక్డౌప్ కాదాప్ని పటుదు లుల్కల్ పద్మాప్ చప బాల్య అయద్ పుపిమా కూచుగు యలిమం అయీలా పద్మాప్తో ఉద్లాపంరా రతుసుచుప్నాగు,0.35,2.6,దాక్డౌప్ కాదాప్ని పటుతు లుద్కగ్ పద్మాప్ చప బాగ్య అయద్ పుపిమా కూచుగు యగిమం అయీగా పద్మాప్తో ఉద్లాపంరా రఢుఫుచుప్నాగు,0.35,2.67
ఆమె నుంచి స్టేట్మెంట్ రికార్డు చేశాం,ఆయె నుంచి ప్టేట్మెంట్ గికాల్డు తేశాం,0.14,1.0,ఆయె పుంతి ప్టేట్మెంట్ గికాల్డు తేశాం,0.19,1.4,ఆయె పుంతి ప్టేట్మెంట్ గికాల్డు తేశాం,0.19,1.4,ఆయె పుంతి ప్టేట్మెంట్ గికాగ్డు తేశాం,0.19,1.4
ఇండియాలో ఈకామర్స్ మార్కెట్ ఇప్పుడిప్పుడే విస్తరిస్తోంది,ఇండిమాలో ఈకాయర్స్ మార్కెట్ ఇవ్పుడిస్పుఢే పిప్తరిప్తోంది,0.15,1.6,ఇంఢిమాదో ఈకాయర్స్ యార్కెట్ ఇన్పుఢిన్పుతే పిప్తరిప్తోండి,0.24,2.6,ఇందిమాదో ఈకాయగ్స్ యాగ్కెట్ ఇష్పుఢివ్పుదే షిప్తలిప్తోండి,0.29,3.2,ఇంతిమాదో ఈకాయగ్స్ యాగ్కెట్ ఇస్పుఢిష్పుదే షిప్తలిప్తోంథి,0.29,3.2
