OriginalText,15%_ErrorInducedText,Percentage_ErrorInduced_15%,AverageErrorPerWord_15%,25%_ErrorInducedText,Percentage_ErrorInduced_25%,AverageErrorPerWord_25%,35%_ErrorInducedText,Percentage_ErrorInduced_35%,AverageErrorPerWord_35%,50%_ErrorInducedText,Percentage_ErrorInduced_50%,AverageErrorPerWord_50%
ఆయన మృతికి ఉప రాష్ట్రపతి ప్రధాన మంత్రి కేంద్రమంతులు కర్నాటక ముఖ్యమంత్రి తదితరులు సంతాపం వ్యక్తం చేశారు,ఆయన మౄతికి ఉప రాష్ట్రపతై ప్రధాన మంత్రీ కేంద్రమంతృలు కర్పౌటక ముఖ్వమంత్రై తదేతరులూ సంతొపం వ్వక్లం చేశోరౄ,0.15,1.15,ఆయన ముతైకె ఉప రొష్ట్రపతే ప్రధోన మంత్రే కింద్రమంతూలూ కర్వేటక మౄఖ్వమంత్రే తదైతరూలూ సంతొపం వ్వక్లం చెశౌరృ,0.24,1.85,ఆయన మౄతెకై ఉప రెష్ట్రపతె ప్రధోన మంత్రే కీంద్రమంతౄలృ కర్పోటక మౄఖ్వమంత్రె తదీతరృలూ సంతెపం వ్వక్లం చోశౌరౄ,0.24,1.85,ఆయన మౄతీకె ఉప రోష్ట్రపతే ప్రధేన మంత్రై కీంద్రమంతౄలూ కర్వొటక మృఖ్వమంత్రె తదైతరౄలౄ సంతొపం వ్వక్లం చీశెరూ,0.24,1.85
మేజర్ జనరల్ ఖాసిం సులేమానీ హత్యకు ప్రతీకారంగా ఇరాక్లోని అమెరికా సైనిక స్థావరాలపై ఇరాన్ దాడులు చేసింది,మేజర్ జనరల్ ఖాసైం సులీమాని హత్యకౄ ప్రతీకొరంగా ఇరాక్తోని అమెరేకె సైనిక స్థేవరొలపి ఇరాన్ దెడృలు చౌసీంది,0.15,1.15,మెజర్ జనరల్ ఖేసేం సౄలిమేనే హత్యకౄ ప్రతేకేరంగొ ఇరోక్తౌనై అమెరేకే సైనిక స్థొవరోలపె ఇరేన్ దోడులూ చేసేందీ,0.25,1.92,మోజర్ జనరల్ ఖొసైం సృలిమౌనే హత్వకృ ప్రతేకోరంగో ఇరెక్ధౌనై అమొరెకే సెనేక స్థొవరోలపె ఇరొన్ దేడూలౄ చీసెందె,0.31,2.38,మిజర్ జనరల్ ఖౌసైం సృలిమౌనే హత్వకృ ప్రతికేరంగే ఇరౌక్తేనే అమొరైకె సినైక స్థౌవరొలపె ఇరోన్ దేడౄలృ చౌసెందె,0.31,2.38
హైదరాబాద్ మూవీ ఆర్టిస్ట్ అసోసియేషన్మా ఉపాధ్యక్ష పదవికి సినీ నటుడు రాజశేఖర్ రాజీనామా చేశారు,హిదరాబొద్ మౄవీ ఆర్టిస్ట్ అసోసియౌషన్మొ ఉపౌధ్యక్ష పదవికి సినీ నటౄడౄ రాజశెఖర్ రాజినామా చోశొరృ,0.14,1.18,హెదరెబౌద్ మౄవి ఆర్టైస్ట్ అసాసెయీషన్మా ఉపొధ్వక్ష పదవేకె సేని నటృడౄ రాజశీఖర్ రొజేనామె చీశారు,0.24,2.0,హిదరెబౌద్ మువే ఆర్టెస్ట్ అసౌసైయౌషన్శే ఉపెధ్వక్ష పదవేకే సీనే నటృడూ రోజశెఖర్ రెజినోమె చీశౌరృ,0.31,2.55,హిదరోబొద్ మౄవి ఆర్టీస్ట్ అసొసేయోషన్శౌ ఉపొధ్వక్ష పదవైకై సేనే నటృడృ రేజశీఖర్ రేజేనౌమె చీశెరృ,0.31,2.55
టొయోటా కరోలా ఫ్రంట్ గ్రిల్ లోగో టీజర్,టొయాటా కరోలొ ఫ్రంట్ గ్రెల్ లేగో టేజర్,0.14,0.83,టాయేటె కరౌలొ ఫ్రంట్ గ్రేల్ లాగే టేజర్,0.24,1.5,టోయాటొ కరాలొ ఫ్రంట్ గ్రైల్ లొగా టేజర్,0.24,1.5,టౌయౌటౌ కరాలె ఫ్రంట్ గ్రేల్ లేగౌ టేజర్,0.24,1.5
ఈ మసీదు మీటర్ల ఎత్తులో చలువరాతి గోపురంతో అద్భుతంగా నిర్మించబడింది,ఈ మసీదు మీటర్గ ఎత్తూలే చలువరాతీ గౌపురంతో అద్భుతంగే నేర్శించబడిందే,0.14,1.12,ఈ మసేదౄ మేటర్ల ఎత్లూలా చలువరెతై గౌపురంతౌ అద్భౄతంగో నిర్శైంచబడేందే,0.25,2.0,ఈ మసిదౄ మేటర్త ఎత్లృలొ చలృవరౌతీ గొపృరంతౌ అద్భౄతంగౌ నీర్శెంచబడైందీ,0.31,2.5,ఈ మసేదృ మిటర్గ ఎత్లూలౌ చలృవరేతె గాపృరంతొ అద్భూతంగౌ నైర్శీంచబడెందీ,0.31,2.5
అయితే ఈ ఘటనలో ఎలాంటి ప్రాణ నష్టం జరగలేదని పోలీసు ఉన్నతాధికారి శశి రంజన్ తెలిపారు,అయెతే ఈ ఘటనలే ఎలాంటి ప్రాణ నష్టం జరగలోదని పౌలేసౄ ఉన్నతాధికొరై శశీ రంజన్ తెలేపెరూ,0.15,1.0,అయీతె ఈ ఘటనలా ఎలాంటె ప్రోణ నష్టం జరగలోదనీ పేలేసృ ఉన్పతోధైకోరై శశే రంజన్ తిలీపౌరృ,0.25,1.67,అయైతె ఈ ఘటనలొ ఎలొంటై ప్రౌణ నష్టం జరగలిదనె పౌలేసృ ఉన్పతోధెకెరె శశీ రంజన్ తాలీపెరృ,0.26,1.75,అయీతె ఈ ఘటనలొ ఎలొంటీ ప్రేణ నష్టం జరగలీదనీ పొలేసౄ ఉన్పతౌధీకెరై శశె రంజన్ తొలీపోరృ,0.26,1.75
షూటింగ్ పూర్తి చేసుకున్న చిత్రం పోస్ట్ప్రొడక్షన్ కార్యక్రమాలను శరవేగంగా పూర్తి చేస్తున్నాం,షూటేంగ్ పూర్తి చేసుకౄన్న చీత్రం పోస్ట్వ్రెడక్షన్ కేర్వక్రమాలను శరవిగంగా పౄర్తీ చెస్లున్నెం,0.14,1.44,షుటేంగ్ పుర్తి చౌసౄకృన్ప చీత్రం పౌస్ట్న్రోడక్షన్ కొర్యక్రమోలనృ శరవెగంగా పౄర్లే చెస్లూన్నేం,0.24,2.44,షుటెంగ్ పుర్లె చోసూకృన్ప చీత్రం పాస్ట్య్రౌడక్షన్ కౌర్వక్రమెలనూ శరవోగంగో పౄర్లె చిస్లృన్పోం,0.3,3.0,షౄటేంగ్ పుర్లీ చిసౄకూన్ప చెత్రం పేస్ట్స్రెడక్షన్ కొర్వక్రమేలనృ శరవీగంగౌ పుర్లె చిస్లూన్వోం,0.3,3.0
లాక్డౌన్ కాలాన్ని నటుడు దుల్కర్ సల్మాన్ తన భార్య అమల్ సుఫియా కూతురు మరియం అమీరా సల్మాన్తో ఉల్లాసంగా గడుపుతున్నారు,లాక్డౌన్ కాలాన్పీ నటుడు దుల్కర్ సల్శొన్ తన భేర్వ అమల్ సౄఫేయా కూతురూ మరీయం అమీరా సల్మౌన్తో ఉల్గొసంగె గడౄపుతున్నారృ,0.14,1.07,లౌక్డౌన్ కాలేన్పై నటౄడౄ దుల్కర్ సల్శేన్ తన భొర్వ అమల్ సుఫైయా కుతౄరౄ మరైయం అమేరొ సల్మోన్తొ ఉల్తెసంగో గడూపూతృన్పోరృ,0.25,1.87,లోక్దొన్ కెలొన్వీ నటూడూ దృల్కర్ సల్శౌన్ తన భౌర్వ అమల్ సృఫేయె కుతూరూ మరైయం అమిరొ సల్శౌన్లే ఉల్తెసంగో గడృపౄతృన్పౌరౄ,0.32,2.4,లేక్ధాన్ కెలౌన్వీ నటూడృ దృల్కర్ సల్శెన్ తన భేర్వ అమల్ సౄఫెయో కౄతౄరృ మరీయం అమిరొ సల్శేన్లౌ ఉల్తేసంగొ గడౄపూతౄన్వోరృ,0.32,2.4
ఆమె నుంచి స్టేట్మెంట్ రికార్డు చేశాం,ఆమె నుంచి స్టోట్మొంట్ రెకెర్డు చిశాం,0.14,1.0,ఆమె నూంచై స్టెట్మింట్ రెకౌర్దృ చెశాం,0.25,1.8,ఆమొ నూంచె స్టోట్శాంట్ రీకోర్ధృ చౌశౌం,0.33,2.4,ఆమా నూంచె స్టీట్శింట్ రేకేర్దూ చిశెం,0.33,2.4
ఇండియాలో ఈకామర్స్ మార్కెట్ ఇప్పుడిప్పుడే విస్తరిస్తోంది,ఇండియాలే ఈకామర్వ్ మెర్కాట్ ఇప్యుడెప్సుడే విస్తరిస్లోంది,0.15,1.6,ఇండైయొలౌ ఈకేమర్వ్ మోర్కెట్ ఇప్పౄడేప్యుడీ విస్తరెస్లోందీ,0.24,2.6,ఇండైయొలొ ఈకోమర్చ్ మోర్కొట్ ఇప్యౄడీప్యౄడీ వెస్లరెస్లేందై,0.35,3.8,ఇండైయెలా ఈకౌమర్చ్ మౌర్కిట్ ఇప్నృడేప్యౄడౌ వీస్లరేస్లేందీ,0.35,3.8
